,name
204,KEYBOARD (คีย์บอร์ด) NUBWO X X28 SORCERER RGB EDITION (RED SWITCH) (RGB LED) (EN/TH)
205,KEYBOARD (คีย์บอร์ด) NEOLUTION E-SPORT MYSTIC PLUS RAINBOW LED
206,KEYBOARD (คีย์บอร์ด) DUCKY ONE 2 RGB (CHERRY MX BLUE) (RGB LED) (EN/TH) (DKON1808ST-CTHPLAZT1)
207,KEYBOARD (คีย์บอร์ด) DUCKY SHINE 7 BLACK (CHERRY MX BLUE) (RGB LED) (EN/TH) (DKSH1808ST-CTHPLAAT1)
208,KEYBOARD (คีย์บอร์ด) LOGITECH G G813 LIGHTSYNC RGB (GL LINEAR SWITCH) (RGB LED) (EN/TH)
209,KEYBOARD (คีย์บอร์ด) GALAX XANOVA PULSAR (CHERRY MX RED) (WHITE LED) (EN)
210,KEYBOARD (คีย์บอร์ด) LOGITECH G G813 LIGHTSYNC RGB (GL CLICKY SWITCH) (RGB LED) (EN/TH)
211,KEYPAD (แผงแป้นพิเศษ) ELGATO STREAM DECK XL [10GAT9901]
212,KEYBOARD (คีย์บอร์ด) RAZER HUNTSMAN ELITE (RAZER LINEAR OPTICAL SWITCH) (RGB LED) (EN)
213,KEYBOARD (คีย์บอร์ด) RAZER HUNTSMAN ELITE (LINEAR OPTICAL SWITCH) (EN/TH)
214,KEYBOARD (คีย์บอร์ด) GALAX XANOVA PULSAR (CHERRY MX BLUE) (WHITE LED) (EN)
215,KEYPAD (คีย์แพด) RAZER TARTARUS PRO
216,KEYBOARD (คีย์บอร์ด) DUCKY ONE 2 HORIZON (CHERRY MX BLUE) (EN/TH) (DKON1808-CTHPDZBBH)
217,KEYBOARD (คีย์บอร์ด) NEOLUTION E-SPORT QUANTUM RAINBOW LED
218,KEYBOARD (คีย์บอร์ด) DUCKY SHINE 7 BLACK (CHERRY MX RED) (RGB LED) (EN/TH) (DKSH1808ST-RTHPLAAT1)
219,KEYBOARD (คีย์บอร์ด) GALAX XANOVA MAGNETAR (CHERRY MX BLUE) (RGB LED) (EN)
220,KEYBOARD (คีย์บอร์ด) GALAX XANOVA MAGNETAR (CHERRY MX RED) (RGB LED) (EN)
221,KEYBOARD (คีย์บอร์ด) NEOLUTION E-SPORT GALAXTIC LITE RGB
222,KEYBOARD (คีย์บอร์ด) RAZER HUNTSMAN GEARS 5 EDITION (RAZER OPTO-MECHANICAL SWITCH) (RGB LED) (EN)
223,KEYBOARD (คีย์บอร์ด) NUBWO X X28 SORCERER (BROWN SWITCH) (RAINBOW LED) (EN/TH)
224,KEYBOARD (คีย์บอร์ด) CORSAIR K95 RGB PLATINUM XT (CHERRY MX SPEED) (RGB LED) (EN) (CH-9127414-NA)
225,KEYBOARD (คีย์บอร์ด) HyperX ALLOY ORIGINS CORE (HyperX RED SWITCH) (RGB LED) (EN) + THAI KEYCAP
226,KEYBOARD (คีย์บอร์ด) COUGAR PURI RGB (COUGAR RED SWITCH) (RGB LED) (EN) (FREE KEYCAP)
227,KEYBOARD (คีย์บอร์ด) CORSAIR K95 RGB PLATINUM XT (CHERRY MX BLUE) (RGB LED) (EN) (CH-9127411-NA)
228,KEYBOARD (คีย์บอร์ด) COUGAR PURI RGB (COUGAR BLUE SWITCH) (RGB LED) (EN) (FREE KEYCAP)
229,KEYBOARD (คีย์บอร์ด) DUCKY ONE 2 MIDNIGHT (CHERRY MX BLUE) (EN/TH) (DKON1808-CTHPDAZBM)
230,KEYBOARD (คีย์บอร์ด) FANTECH GAMING MK852 MAX CORE (OUTEMU BROWN SWITCH) (RGB LED) (EN/TH)
231,KEYBOARD (คีย์บอร์ด) DUCKY ONE 2 RGB RAZER EDITION (RAZER GREEN SWITCH) (RGB LED) (EN) (DKON1808ST-RGUSPDAZT1)
232,KEYBOARD (คีย์บอร์ด) NEOLUTION E-SPORT MYSTIC (MECHANICAL BLUE SWITCH) (RAINBOW LED) (EN/TH)
233,KEYBOARD (คีย์บอร์ด) DUCKY SHINE 7 GUNMETAL RGB MX BLUE-SW TH-LG (DKSH1808ST-CUSPDAHT1)
234,MOUSE (เมาส์) LOGITECH GAMING GEAR G102 PRODIGY
